Variable,Real Dynasty Mean,Real Dynasty SD,Synthetic CF Mean,Synthetic CF SD,SMD
ira_share,0.868,0.100,0.868,0.100,0.000
local_rev_pc,333934.960,500687.445,333934.960,500687.445,0.000
enc_gol,6.909,1.642,6.909,1.642,0.000
income_class=3,1.000,,1.000,,
region=BARMM,0.033,,0.033,,0.000
region=Bicol Region,0.097,,0.097,,0.000
region=CALABARZON,0.064,,0.064,,0.000
region=CAR,0.060,,0.060,,0.000
region=CARAGA,0.067,,0.067,,0.000
region=Cagayan Valley,0.087,,0.087,,0.000
region=Central Luzon,0.100,,0.100,,0.000
region=Central Visayas,0.030,,0.030,,0.000
region=Davao Region,0.054,,0.054,,0.000
region=Eastern Visayas,0.067,,0.067,,0.000
region=Ilocos Region,0.067,,0.067,,0.000
region=MIMAROPA,0.007,,0.007,,0.000
region=MIMAROPA Region,0.027,,0.027,,0.000
region=Mimaropa Region,0.010,,0.010,,0.000
region=Northern Mindanao,0.057,,0.057,,0.000
region=SOCCSKSARGEN,0.047,,0.047,,0.000
region=Western Visayas,0.070,,0.070,,0.000
region=Zamboanga Peninsula,0.057,,0.057,,0.000
