"Total Population, Household Population, and Number of Households by Region and Province/Highly Urbanized City: Philippines, 2020"

"Geographic Location";"Total Population"
"PHILIPPINES /a";109033245
"..NATIONAL CAPITAL REGION (NCR)";13484462
"....City of Manila";1846513
"....City of Mandaluyong";425758
"....City of Marikina";456059
"....City of Pasig";803159
"....Quezon City";2960048
"....City of San Juan";126347
"....City of Caloocan";1661584
"....City of Malabon";380522
"....City of Navotas";247543
"....City of Valenzuela";714978
"....City of Las Piñas";606293
"....City of Makati";629616
"....City of Muntinlupa";543445
"....City of Parañaque";689992
"....Pasay City";440656
"....City of Taguig";886722
"....Pateros";65227
"..CORDILLERA ADMINISTRATIVE REGION (CAR)";1797660
"....Abra";250985
"....Apayao";124366
"....Benguet *";460683
"....Ifugao";207498
"....Kalinga";229570
"....Mountain Province";158200
"....City of Baguio";366358
"..REGION I (ILOCOS REGION)";5301139
"....Ilocos Norte";609588
"....Ilocos Sur";706009
"....La Union";822352
"....Pangasinan";3163190
"..REGION II (CAGAYAN VALLEY)";3685744
"....Batanes";18831
"....Cagayan";1268603
"....Isabela";1697050
"....Nueva Vizcaya";497432
"....Quirino";203828
"..REGION III (CENTRAL LUZON)";12422172
"....Aurora";235750
"....Bataan";853373
"....Bulacan";3708890
"....Nueva Ecija";2310134
"....Pampanga *";2437709
"....Tarlac";1503456
"....Zambales *";649615
"....City of Angeles";462928
"....City of Olongapo";260317
"..REGION IV-A (CALABARZON)";16195042
"....Batangas";2908494
"....Cavite";4344829
"....Laguna";3382193
"....Quezon *";1950459
"....Rizal";3330143
"....City of Lucena";278924
"..MIMAROPA REGION";3228558
"....Marinduque";239207
"....Occidental Mindoro";525354
"....Oriental Mindoro";908339
"....Palawan *";939594
"....Romblon";308985
"....City of Puerto Princesa";307079
"..REGION V (BICOL REGION)";6082165
"....Albay";1374768
"....Camarines Norte";629699
"....Camarines Sur";2068244
"....Catanduanes";271879
"....Masbate";908920
"....Sorsogon";828655
"..REGION VI (WESTERN VISAYAS)";7954723
"....Aklan";615475
"....Antique";612974
"....Capiz";804952
"....Guimaras";187842
"....Iloilo *";2051899
"....Negros Occidental *";2623172
"....City of Bacolod";600783
"....City of Iloilo";457626
"..REGION VII (CENTRAL VISAYAS)";8081988
"....Bohol";1394329
"....Cebu *";3325385
"....Negros Oriental";1432990
"....Siquijor";103395
"....City of Cebu";964169
"....City of Lapu-Lapu (Opon)";497604
"....City of Mandaue";364116
"..REGION VIII (EASTERN VISAYAS)";4547150
"....Biliran";179312
"....Eastern Samar";477168
"....Leyte *";1776847
"....Northern Samar";639186
"....Samar (Western Samar)";793183
"....Southern Leyte";429573
"....City of Tacloban";251881
"..REGION IX (ZAMBOANGA PENINSULA)";3875576
"....Zamboanga del Norte";1047455
"....Zamboanga del Sur *";1050668
"....Zamboanga Sibugay";669840
"....City of Isabela **";130379
"....City of Zamboanga";977234
"..REGION X (NORTHERN MINDANAO)";5022768
"....Bukidnon";1541308
"....Camiguin";92808
"....Lanao del Norte *";722902
"....Misamis Occidental";617333
"....Misamis Oriental *";956900
"....City of Cagayan de Oro";728402
"....City of Iligan";363115
"..REGION XI (DAVAO REGION)";5243536
"....Davao de Oro (Compostela Valley)";767547
"....Davao del Norte";1125057
"....Davao del Sur *";680481
"....Davao Occidental";317159
"....Davao Oriental";576343
"....City of Davao";1776949
"..REGION XII (SOCCSKSARGEN)";4360974
"....Cotabato (North Cotabato)";1275185
"....Sarangani";558946
"....South Cotabato *";975476
"....Sultan Kudarat";854052
"....City of General Santos (Dadiangas)";697315
"..REGION XIII (CARAGA)";2804788
"....Agusan del Norte *";387503
"....Agusan del Sur";739367
"....Dinagat Islands";128117
"....Surigao del Norte";534636
"....Surigao del Sur";642255
"....City of Butuan";372910
"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";4944800
"....Basilan";426207
"....Lanao del Sur";1195518
"....Maguindanao";1667258
"....Sulu";1000108
"....Tawi-Tawi";440276
"....Eight (8) Area Clusters ***";215433
