feature,importance
income_class_3,0.0
region_Davao Region,0.0
region_Northern Mindanao,0.00831667
prev_margin,0.017107047
region_Mimaropa Region,0.019251509
region_Ilocos Region,0.021828549
region_MIMAROPA,0.027327873
region_Western Visayas,0.028507464
region_CAR,0.030851211
region_MIMAROPA Region,0.033309754
region_Eastern Visayas,0.033695444
region_CARAGA,0.03733846
region_Central Visayas,0.037646055
delta_health,0.039072983
local_rev_pc,0.039729774
ira_share,0.0400348
region_SOCCSKSARGEN,0.040340792
enc_gol,0.042260498
region_CALABARZON,0.043418147
region_Zamboanga Peninsula,0.044999804
delta_pubwelf,0.04637838
delta_educ,0.04849212
dynasty,0.052697435
region_Bicol Region,0.058836482
region_Central Luzon,0.060504314
region_BARMM,0.070985
region_Cagayan Valley,0.07706947
