LGU_clean,election_year,incumbent_name,dynasty,incumbent_terms,ira_share,local_rev_mn,enc_gol,income_class,region,health_mn_pre3,health_mn_post3,educ_mn_pre3,educ_mn_post3,pubwelf_mn_pre3,pubwelf_mn_post3,socserv_mn_pre3,socserv_mn_post3,econdev_mn_pre3,econdev_mn_post3,labor_mn_pre3,labor_mn_post3,housing_mn_pre3,housing_mn_post3,gov_mn_pre3,gov_mn_post3,totexp_mn_pre3,totexp_mn_post3
,1995,,1,0,0.7724413050585155,2.102841,,3,CENTRAL VISAYAS,,,,,,,,,,,,,,,,,,
ABORDO,1992,,1,0,0.851965747718201,0.419862,,3,MIMAROPA,,,,,,0.7644963333333333,,,,0.5294206666666667,,,,,,3.5126663333333332,,4.806583333333333
ABORDO,1995,,1,0,0.926763750988095,0.298285,,3,MIMAROPA,,,,,0.5019136666666667,2.24984,,,0.4057516666666667,1.9864403333333334,,,,,2.994816,8.088543,3.902481333333333,12.324823333333333
ABORDO,1998,,1,0,0.8991926091058667,4.613499,,3,MIMAROPA,,,,,0.851651,0.851651,,,0.3710069999999999,0.371007,,,,,3.767147,3.767147,4.989805,4.989805
ABORLAN,1992,,1,0,0.9063162063864929,0.476455,,3,MIMAROPA,,,,,,2.3238903333333334,,,,1.8541003333333332,,,,,,8.862319666666666,,13.040310333333332
ABORLAN,1995,,1,0,0.743778026225821,6.631882,,3,MIMAROPA,,,,,1.1668496666666666,4.76611,,,0.8607586666666668,4.847452,,,,,5.7946843333333335,10.969890999999999,7.822292666666667,20.583453
ABORLAN,1998,,1,0,0.9173662653250734,1.845069,,3,MIMAROPA,,3.01674418,,0.5882755,4.334447333333333,12.929117586666665,,0.82267515,4.224976333333333,3.9235570733333334,,0.0,,0.54565824,12.220030666666668,15.529786876666668,20.77945433333333,32.38246153666667
ABORLAN,2001,,1,0,0.9471607149652819,1.97069587,,3,MIMAROPA,,2.8299775633333333,,0.6126999966666666,5.4767663099999995,34.20811247666666,,1.1406559433333334,4.009747963333333,7.762793173333333,,0.0,,0.19056025,10.1453626,29.434218723333334,19.631876873333333,71.40512437333332
ABORLAN,2004,,1,0,0.9446307296732407,2.98069246,,3,MIMAROPA,2.872581393333333,3.423735166666667,0.5987584999999999,1.3639711300000001,31.452721276666665,27.424506609999995,1.0008917166666667,1.3842336866666667,7.321626443333334,6.822507553333334,0.0,0.0,0.2972194133333333,0.3981513833333334,28.34105461,32.79091943,67.11540233,67.03793359333334
ABORLAN,2007,,1,0,0.8698151760878287,3.98269078,,3,MIMAROPA,3.1771480266666665,4.0122838566666665,1.07702491,1.9238874,36.85573158333333,8.44713906,1.3301400866666668,2.1005574966666667,6.4204875,9.16100345,0.0,0.0,0.28278459333333333,0.41041030666666667,30.98863396666667,55.45527385,74.26485305,73.06341636
ABORLAN,2010,,1,0,0.9353079612154699,6.401723262,,3,MIMAROPA,3.8196097266666666,5.253305973333333,2.2136882233333335,0.8891327666666667,8.119261983333333,9.385700886666667,1.48721002,2.9693561066666665,7.870090950000001,11.910650443333333,0.0,0.0,0.5987540133333334,0.27390604,47.54451323999999,43.55965599333333,63.53386617333333,64.85600732333334
ABORLAN,2013,,1,0,0.9234700557049837,9.561254203999999,,3,MIMAROPA,4.994914949999999,7.1711569299999995,0.8194684433333334,2.211604486666667,8.928914626666666,15.547515986666667,2.9716753066666666,5.771701279999999,12.382192429999998,18.870848223333333,0.0,0.0,0.14285592666666666,0.39305329000000006,50.92432474666666,62.63151938333334,72.23543180333333,97.04988359333333
ABORLAN,2016,,1,0,0.9421018279460365,10.11080679,,3,MIMAROPA,5.959033039999999,10.162541416666667,1.7742329100000003,2.736562993333333,12.210057419999998,19.674720886666666,4.047095453333333,6.387944596666666,16.19713326333333,17.52881431666667,0.0,0.0,0.42969601666666674,0.38767188,51.03451233999999,90.74625459666667,79.44170302333335,127.9497898
ABORLAN,2019,,1,0,0.9129451786437024,21.21727058,,3,MIMAROPA,9.464903396666665,11.634312473333333,2.575717356666667,0.13988555,19.58286526666667,20.406642896666668,7.186084449999999,8.632444873333332,17.790509696666664,18.78757528666667,0.0,0.0,0.35616006333333333,0.0,82.57248538333334,105.80663345666666,119.94586034666668,145.00085164
ABORLAN,2022,,1,0,0.9630965931383632,5.63325157,,3,MIMAROPA,10.215018276666667,,0.9933458133333333,,19.70764633,,8.371113036666666,,22.52705689,,0.0,,0.12816920333333334,,114.00424276000001,,156.23894598,
ABRA,1992,"VALERA, VICENTE YSIDRO P.",0,0,0.9713653358392148,1.194074,1.8491697311401367,3,CAR,,,,,,9.614391333333332,,,,25.455975,,,,,,20.098226333333333,,55.168592666666676
ABRA,1995,"VALERA, VICENTE YSIDRO P.",1,1,0.9717372637457836,3.022387,1.0989365577697754,3,CAR,,,,,7.4050683333333325,19.447199333333334,,,21.006107,33.74836933333333,,,,,17.130192333333333,30.429821333333336,45.54136766666667,83.62539
ABRA,1998,"VALERA, MA. ZITA CLAUSTRO",1,1,0.7201062931808053,60.835153,1.9435614347457886,3,CAR,,74.25793152,,1.05746806,7.066814,61.03592357666667,,4.757491219999999,29.322189999999996,48.425032550000005,,0.0,,0.0,25.348583,56.91417697666666,61.737587,166.37513310333335
ABRA,2001,"VALERA, VICENTE YSIDRO P.",1,1,0.749410623223842,12.70943365,1.5489224195480347,3,CAR,,87.76308362666667,,1.3307931333333334,53.2223203,161.7084737066667,,5.204718156666666,44.832893000000006,55.24625481333334,,0.0,,0.0,47.8953497,67.40987879,145.950563,284.36460731
ABRA,2004,"VALERA, VICENTE YSIDRO P.",1,2,0.7019723938023241,28.07851296,1.3217536211013794,3,CAR,82.26456298666666,128.0023304433333,0.8848159533333334,1.9244939633333338,128.56666640333333,194.14731500666667,4.880387076666666,5.314695866666666,54.167888250000004,103.13689568666666,0.0,0.0,0.0,0.0,67.22786398666666,86.15106429333333,249.96241863999998,383.4352749866666
ABRA,2007,"BERSAMIN, EUSTAQUIO PURUGGANAN",0,2,0.8577036825411508,27.39940944,1.6443742513656616,3,CAR,116.78360142333334,112.88697232333334,2.189302496666667,2.140343,205.89335137666663,125.78903668,5.283044643333333,10.761721356666667,85.78901657,117.94836844000001,0.0,0.0,0.0,0.0,81.63740281333334,162.25164098000002,373.31977076,405.9890461
ABRA,2010,"BERSAMIN, EUSTAQUIO PURUGGANAN",1,3,0.638704743695539,33.21093973,1.0463632345199585,3,CAR,114.79141613,147.59910804,1.8016269999999999,2.7346289233333336,124.49464875333332,173.76587542333334,7.901605623333334,23.43213846,126.14967319666668,121.77424688666667,0.0,0.0,0.0,0.0,110.30965038,346.46972918,360.95397232999994,642.00985149
ABRA,2013,"BERSAMIN, EUSTAQUIO PURUGGANAN",1,4,0.6478574671234284,40.5100262,1.2446894645690918,3,CAR,133.18736884999998,206.02740116666666,2.431761076666667,5.397278119999999,159.37537641333333,231.52952695333337,23.75624648666667,20.104847666666664,105.31656660666665,124.13684044666667,0.0,0.0,0.0,0.0,317.31413911333334,177.18900196,582.0060821333333,532.85536936
ABRA,2016,"BERNOS, MARIA JOCELYN VALERA",0,4,0.6401357058565674,120.55709784,1.939278483390808,3,CAR,182.52718259000002,319.81047801666665,4.605898489999999,4.112454123333333,203.95781229,349.06895898,16.82473121,25.14602684,121.3261447,129.95060451999998,0.0,0.0,0.0,0.0,217.19082248333336,443.70766492999996,542.4747794733333,922.7272284300001
ABRA,2019,"BERNOS, MARIA JOCELYN VALERA",1,5,0.942092848897092,62.74435895000001,1.325655221939087,3,CAR,319.16994116,267.5687944466667,5.843014933333333,6.9001166666666665,349.13568834666665,345.73577739666666,24.12273225333333,71.26686628333333,142.44667071666666,470.7527794566667,0.0,0.0,0.0,0.0,402.1759584933333,461.2957168166667,893.7583175566666,1277.7842736700002
