feature,mean_shap
enc_gol,0.45972180439528865
delta_educ,0.36321968106486935
delta_health,0.32597727488480654
local_rev_pc,0.312801109978779
dynasty_x_delta_educ,0.25203396220736046
dynasty_x_delta_health,0.19675567789801968
region_BARMM,0.19194051700346962
region_SOCCSKSARGEN,0.13029495662205043
prev_margin,0.07098763732804152
region_Bicol Region,0.058071510037477236
dynasty,0.056801668354220264
region_Central Luzon,0.045080222672308184
region_CARAGA,0.03735431753983651
region_CALABARZON,0.034534821174175216
region_Cagayan Valley,0.02787654031760017
region_Eastern Visayas,0.02474400062739431
region_Zamboanga Peninsula,0.015300933049966865
region_MIMAROPA,0.015135142024594712
region_Western Visayas,0.011250337987672889
region_CAR,0.009875307767800516
region_Ilocos Region,0.009839258599475037
region_Central Visayas,0.002767262221210378
region_MIMAROPA Region,0.0014766696023821102
region_Northern Mindanao,0.0006335377440586095
region_Mimaropa Region,0.00023318310265459718
region_Davao Region,0.0
income_class_3,0.0
