feature,mean_pre,mean_post,pct_change,t_stat,p_value_t,p_value_mw,p_value_perm,significant_05,n_pre,n_post
dynasty_x_delta_pubwelf,0.12966259600000002,0.334912955,158.29573472368236,-1.9151552448579416,0.2947522853383183,0.09523809523809523,0.0488,False,5,2
dynasty_x_ira,0.22389447700000004,0.48019849000000003,114.47536198045651,-1.9796066426527565,0.2406429257401803,0.19047619047619047,0.0993,False,5,2
dynasty_x_delta_educ,0.08722459899999999,0.18299315,109.79534683788002,-1.7282819925131998,0.15647464604259162,0.3285649834391966,0.3384,False,5,2
delta_health,0.17041418,0.3162873,85.59916786267434,-2.0779166877344877,0.10623467013848709,0.3285649834391966,0.1908,False,5,2
dynasty,0.06526445228000001,0.0125868725,-80.71404560939341,0.9910222947898625,0.3760281567069922,0.8571428571428571,0.6515,False,5,2
ira_share,0.593948042,0.2850003,-52.015954284432176,3.4685801513911616,0.024485650147228106,0.09523809523809523,0.0985,True,5,2
local_rev_pc,0.501256634,0.24116203,-51.888511065571244,2.41118158207741,0.2022356384790581,0.09523809523809523,0.0488,False,5,2
delta_educ,0.271982168,0.40123595,47.52288833876784,-1.0016614832479194,0.3665513254350018,0.5577377267622736,0.6174,False,5,2
dynasty_x_delta_health,0.06171388868000001,0.085905485,39.19959807659942,-1.0607874428472364,0.34538299288107777,0.5714285714285714,0.4331,False,5,2
enc_gol,0.37510508600000003,0.26125758,-30.350829740549035,1.1862661102795906,0.29052071969909204,0.5714285714285714,0.5121,False,5,2
delta_pubwelf,0.33558103800000005,0.318841465,-4.9882356582972545,0.1369291870056575,0.8991478413359303,1.0,0.8925,False,5,2
